record_id,slug,template_auto
reckbiy2QrzdDhjBV,agentstvorazvitiya,template_1
rec2IZiOSdfrCni8s,aktsionernoeobshchestvo,template_2
recAeYJC07lT62jxT,aktsiyayavlyaetsya,template_3
rec3WHHjr0r3qEitQ,alternativavkladu,template_5
rec43Z59zUiy7QMP5,alternativnyeaktivy,template_6
reclmgBIJ6iqRg8Zm,analizeffektivnosti,template_1
rec5RsXVUZ6Z9eFVf,arendnyydokhod,template_3
recGTbiFF1KLCIbdQ,avtomaticheskoeinvestirovanie,template_4
recwT7SgOJOZr6vHm,bankiinvestitsii,template_5
recq5iQmo4fPpZLJP,bezopasnyeinvestitsii,template_6
recH4X85WRG3krUq8,bezopasnyevlozheniya,template_1
rec2aZyUN8jvQQf4l,bezopasnyevlozheniya1,template_2
rec201tGq9HSBKVYR,brokerkvalifitsirovannykh,template_3
recZVoFBlUXMH3Be3,budetzpif,template_4
recyKdAgmjE7tSvnD,budushchayastoimost,template_5
recyj1dntPXuzYTUW,byudzhetinvestitsiy,template_6
recpAVmPaLChG7pC6,byudzhetnyeinvestitsii,template_1
recWiYHD25gTSAc8W,chegonachat,template_2
rec4CtrlygG0GkiTx,chegonachat3,template_3
recXLzQlLxOWzgKUt,chempomogayut,template_4
recOvq8F6Wd97vkdp,chemzaklyuchaetsya,template_5
recgHqbj2ZP9HXl1g,chistayainvestitsiya,template_6
recRN6gNVLIxqI2ds,chistayaprivedennaya,template_1
recaMyYVw6Lckvlgu,chistyeinvestitsii,template_2
recaaX3J2gp8VjTbk,darenieinvestitsionnykh,template_3
recopi236227PTtyT,delatblokirovke,template_4
recZnS6yuabp0T0OE,delatdengami,template_5
recjzBojPc5g2VATy,delatdengami2,template_6
rec6kix2xCj8piMhm,delatesli,template_1
recTMhXJVJuo4pAGv,delatesli1,template_2
recQPJ82jsrFu1A44,delatnasledstvom,template_3
recRSvwhhj9AkOInu,departamentinvestitsiy,template_4
rec5RRcAALzRUnof3,diskontirovannyypotok,template_5
recgcOgfij9a4jBxx,distsiplinainvestitsiyakh,template_6
recg8duxgslYcikSn,diversifikatsiyaportfelya,template_1
reckdAhLo4ku3EU4Q,dobavitportfelyu,template_2
recNC1ddR9R7CDtqu,dobavitzpif,template_3
recaBsx3qA3asI5KC,dogovorzpif,template_4
recpPirv0D4DWtXnY,dokhodnostrentabelnost,template_6
recLyYV0TEuQAU1uQ,dokhodnostzpif,template_1
recKpzivUvXz1EeXT,dokhodnostzpifov,template_2
rectjs2Sge8CGQrsJ,dokhodsvobodnoe,template_3
rec3CXyXbitMjl8wo,dolgosrochnyeaktivy,template_4
